Transaction Date,Payment Ref,Payer Name,Open ID,Product Name,Insurance Company,Policy Number,Coverage Period,Currency,Charge Amount,Promotion Type,Status
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103557329846024,01/05/2010 to 26/04/2011,SGD,0.1,Free Policy,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC8810355822935280,02/05/2010 to 27/04/2011,SGD,0.1,none,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103558747959814,03/05/2010 to 28/04/2011,SGD,0.1,none,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103559578161531,04/05/2010 to 29/04/2011,SGD,0.1,none,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103600367367340,05/05/2010 to 30/04/2011,SGD,0.1,none,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103601140992077,06/05/2010 to 01/05/2011,SGD,0.1,none,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103601844675189,07/05/2010 to 02/05/2011,SGD,0.1,none,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103602593775267,08/05/2010 to 03/05/2011,SGD,0.1,none,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103603412156460,09/05/2010 to 04/05/2011,SGD,0.1,none,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103604184940691,10/05/2010 to 05/05/2011,SGD,0.1,none,PAID
23/07/2019 09:31:00,40200000000000,TEST Arjun,103557329,ProductName,Insurance Company,GC88103604960793880,11/05/2010 to 06/05/2011,SGD,0.1,none,PAID
